,dtype,nulls,unknowns,unique_values,unknown_pct
age,int64,0,0,78,0.0
job,object,0,330,12,0.8
marital,object,0,80,4,0.19
education,object,0,1731,8,4.2
default,object,0,8597,3,20.87
housing,object,0,990,3,2.4
loan,object,0,990,3,2.4
contact,object,0,0,2,0.0
month,object,0,0,10,0.0
day_of_week,object,0,0,5,0.0
duration,int64,0,0,1544,0.0
campaign,int64,0,0,42,0.0
pdays,int64,0,0,27,0.0
previous,int64,0,0,8,0.0
poutcome,object,0,0,3,0.0
emp.var.rate,float64,0,0,10,0.0
cons.price.idx,float64,0,0,26,0.0
cons.conf.idx,float64,0,0,26,0.0
euribor3m,float64,0,0,316,0.0
nr.employed,float64,0,0,11,0.0
y,object,0,0,2,0.0
