,count,mean,std,min,25%,50%,75%,max,missing
age,41176.0,40.02,10.42,17.0,32.0,38.0,47.0,98.0,0
duration,41176.0,258.32,259.31,0.0,102.0,180.0,319.0,4918.0,0
campaign,41176.0,2.57,2.77,1.0,1.0,2.0,3.0,56.0,0
pdays,1515.0,6.01,3.82,0.0,3.0,6.0,7.0,27.0,39661
previous,41176.0,0.17,0.49,0.0,0.0,0.0,0.0,7.0,0
emp_var_rate,41176.0,0.08,1.57,-3.4,-1.8,1.1,1.4,1.4,0
cons_price_idx,41176.0,93.58,0.58,92.2,93.08,93.75,93.99,94.77,0
cons_conf_idx,41176.0,-40.5,4.63,-50.8,-42.7,-41.8,-36.4,-26.9,0
euribor3m,41176.0,3.62,1.73,0.63,1.34,4.86,4.96,5.04,0
nr_employed,41176.0,5167.03,72.25,4963.6,5099.1,5191.0,5228.1,5228.1,0
default_disclosed,41176.0,0.79,0.41,0.0,1.0,1.0,1.0,1.0,0
contacted_before,41176.0,0.04,0.19,0.0,0.0,0.0,0.0,1.0,0
subscribed,41176.0,0.11,0.32,0.0,0.0,0.0,0.0,1.0,0
